:4
C1:2
C10:2
C15:2
C16:2
C17:1
C18:2
C19:1
C2:2
C20:1
C21:1
C22:2
C23:2
C24:2
C3:2
C4:2
C5:2
C6:2
C7:2
C8:2
C9:2
J1:1
J2:1
J3:1
J4:1
J5:1
J6:1
Q1:1
Q10:1
Q11:1
Q12:1
Q13:1
Q14:1
Q15:1
Q16:1
Q17:1
Q18:1
Q2:1
Q3:1
Q4:1
Q5:1
Q6:1
Q7:1
Q8:1
Q9:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R2:1
R3:1
R4:1
R47:1
R48:1
R49:1
R5:1
R50:1
R51:1
R52:1
R53:1
R54:1
R55:1
R56:1
R57:1
R58:1
R59:1
R6:1
R60:1
R61:1
R7:1
R8:1
R9:1
REF**:4
TH1:1
